RATIO	mmult_eigen	mmult_eigen_dot	mmult_eigen_vec	python	sparse_eigen
90		3	3		
80		3	3		
70	7	3	3	6	7
60	6	3	3	6	6
50	6	3	3	6	6
40	4	3	3	5	5
30	4	3	4	4	4
20	4	4	4	4	4
